time,id,x,y
193,32,7.699999999999998,5.0
193,33,25.373200827133942,2.537320082713395
193,34,4.0,5.0
194,17,98.44720729174985,5.0
194,18,95.0,5.0
194,19,76.0,5.0
194,20,79.44720729174985,5.0
194,21,74.0,5.0
194,22,42.656996821081506,4.265699682108153
194,23,64.0,5.0
194,24,57.20000000000001,5.0
194,25,51.000000000000014,5.0
194,26,39.70173636615779,3.970173636615782
194,27,40.00000000000001,5.0
194,28,36.0,5.0
194,29,33.05999999999999,5.0
194,30,37.313647109653814,3.731364710965384
194,31,24.6,5.0
194,32,8.249999999999998,5.0
194,33,25.970223141259936,2.5970223141259945
194,34,5.0,5.0
195,17,99.44720729174985,5.0
195,18,96.0,5.0
195,19,77.0,5.0
195,20,80.44720729174985,5.0
195,21,75.0,5.0
195,22,42.9853590938508,4.298535909385082
195,23,65.0,5.0
195,24,58.20000000000001,5.0
195,25,52.000000000000014,5.0
195,26,40.29875868028378,4.029875868028381
195,27,40.00000000000001,5.0
195,28,37.0,5.0
195,29,34.50999999999999,5.0
195,30,37.91066942377981,3.7910669423779835
195,31,25.6,5.0
195,32,8.799999999999999,5.0
195,33,26.56724545538593,2.656724545538594
195,34,6.0,5.0
196,18,97.0,5.0
196,19,78.0,5.0
196,20,81.44720729174985,5.0
196,21,76.0,5.0
196,22,43.3137213666201,4.3313721366620115
196,23,66.0,5.0
196,24,59.20000000000001,5.0
196,25,53.000000000000014,5.0
196,26,40.895780994409776,4.08957809944098
196,27,40.00000000000001,5.0
196,28,38.0,5.0
196,29,35.959999999999994,5.0
196,30,38.5076917379058,3.850769173790583
196,31,26.6,5.0
196,32,9.35,5.0
196,33,27.164267769511923,2.7164267769511934
196,34,7.0,5.0
197,18,98.0,5.0
197,19,79.0,5.0
197,20,82.44720729174985,5.0
197,21,77.0,5.0
197,22,43.6420836393894,4.364208363938941
197,23,67.0,5.0
197,24,60.20000000000001,5.0
197,25,54.000000000000014,5.0
197,26,40.895780994409776,4.08957809944098
197,27,40.00000000000001,5.0
197,28,38.0,5.0
